cadran , hugo_claude_gueux--utf8.txt	142
cage , hugo_claude_gueux--utf8.txt	370
cailloux , hugo_claude_gueux--utf8.txt	122
caisse , hugo_claude_gueux--utf8.txt	462
calculez , hugo_claude_gueux--utf8.txt	1130
calme , hugo_claude_gueux--utf8.txt	658 , 266
calorique , hugo_claude_gueux--utf8.txt	114
camarade , hugo_claude_gueux--utf8.txt	726 , 422 , 398
camarades , hugo_claude_gueux--utf8.txt	374 , 626
cambon , dumas_blanche_beaulieu-utf8.txt	130
camille , dumas_blanche_beaulieu-utf8.txt	185
camp , dumas_blanche_beaulieu-utf8.txt	211
campagne , dumas_blanche_beaulieu-utf8.txt	256
canons , dumas_blanche_beaulieu-utf8.txt	87
capable , hugo_claude_gueux--utf8.txt	90
capacité , hugo_claude_gueux--utf8.txt	114
capitaine , dumas_blanche_beaulieu-utf8.txt	20
captif , hugo_claude_gueux--utf8.txt	142
car , hugo_claude_gueux--utf8.txt	690 , 390 , 246 , 734 , 898 , 626 , 958 , 126 , 290
caractère , hugo_claude_gueux--utf8.txt	130 , 114
cardinaux , hugo_claude_gueux--utf8.txt	142
carlier , hugo_claude_gueux--utf8.txt	81
carnot , dumas_blanche_beaulieu-utf8.txt	130
carré , hugo_claude_gueux--utf8.txt	1030 , 446
cas , hugo_claude_gueux--utf8.txt	358 , 594 , 438
casque , dumas_blanche_beaulieu-utf8.txt	276 , 261
cassation , hugo_claude_gueux--utf8.txt	618 , 898
cassenoisette , dumas_blanche_beaulieu-utf8.txt	27
catastrophe , hugo_claude_gueux--utf8.txt	114
catholique , dumas_blanche_beaulieu-utf8.txt	160
causa , hugo_claude_gueux--utf8.txt	626
causeries , hugo_claude_gueux--utf8.txt	638
causèrent , hugo_claude_gueux--utf8.txt	514
cautérisation , hugo_claude_gueux--utf8.txt	1090
ce , dumas_blanche_beaulieu-utf8.txt	137 , 215 , 359 , 337 , 328 , 72 , 140 , 110 , 338 , 146
ce , hugo_claude_gueux--utf8.txt	522 , 454 , 630 , 358 , 522 , 1146 , 458 , 914 , 126 , 634 , 810 , 574 , 934 , 218 , 246 , 114 , 982 , 246 , 566 , 478 , 1034 , 470 , 734 , 1162 , 642 , 1034 , 102 , 946 , 802 , 566 , 490 , 1034 , 946 , 666 , 218 , 418 , 810 , 114 , 422 , 618 , 134 , 838 , 134 , 878 , 118 , 506 , 970 , 550 , 90 , 1034 , 1134 , 958 , 210 , 1018 , 1166 , 518 , 838 , 90 , 734 , 106 , 830 , 526 , 462 , 798 , 90 , 1178 , 150
ceci , hugo_claude_gueux--utf8.txt	1054 , 862 , 1054 , 1066 , 114 , 642
cela , dumas_blanche_beaulieu-utf8.txt	253
cela , hugo_claude_gueux--utf8.txt	134 , 566 , 1026 , 734 , 590 , 566 , 862 , 734 , 342 , 734 , 534 , 594 , 114 , 842 , 146 , 398 , 186 , 1038 , 566 , 566 , 734 , 178
celle , dumas_blanche_beaulieu-utf8.txt	215
