aimé,camus-la-peste-utf8.txt	931,1913,859,2138
aimé,edmond_rostand_cyrano-utf8.txt	20385,5042,19872,19926,13684,19936
aimée,camus-la-peste-utf8.txt	1185,931
aimées,edmond_rostand_cyrano-utf8.txt	16789
aimés,camus-la-peste-utf8.txt	935,3244
aines,camus-la-peste-utf8.txt	644,2303,202,2207,482
ainsi,camus-la-peste-utf8.txt	2207,919,2096,929,931,2086,2086,1175,2082,903,901,2110,901,2110,3028,2112,1221,2118,1175,2118,891,2122,32,2126,2902,2136,887,885,2900,2146,881,881,879,2163,875,2886,1793,2884,2173,2179,2878,3098,1045,1229,356,3106,859,1047,2193,150,2253,1533,2419,1183,414,2515,2517,2523,34,1469,600,2529,2531,62,2535,2535,2537,1457,2553,48,1077,564,564,2693,558,506,2591,506,1187,2591,3158,520,1327,2595,2641,2098
ainsi,dumas_blanche_beaulieu-utf8.txt	330
ainsi,edmond_rostand_cyrano-utf8.txt	7197,11282,824,9433,18474,19269,23895,15456,297,3981,18079,3999,4003
air,camus-la-peste-utf8.txt	2651,1893,2148,784,1843,1541,979,1905,738,2940,2563,2451,1513,2167,1673,30,3112,2195,2940,2043,2878,450,1045,236,556,2047,3144
air,edmond_rostand_cyrano-utf8.txt	13920,13920,13916,9375,13057,14305,5964,3801,13065,1037,13916,21624,3653,10966,6180,2404,3311,19047,17644,21300,5848,14305
aire,edmond_rostand_cyrano-utf8.txt	6825
airs,camus-la-peste-utf8.txt	2872
airs,edmond_rostand_cyrano-utf8.txt	16791,16785,3967,16795,4814,16817
aise,camus-la-peste-utf8.txt	3228
aise,edmond_rostand_cyrano-utf8.txt	6849,15098
aisselles,camus-la-peste-utf8.txt	202
aisé,camus-la-peste-utf8.txt	2523,322
aisément,camus-la-peste-utf8.txt	2128,2523
ait,camus-la-peste-utf8.txt	550,2108,3098,2207,3154,2104,370,1511
ait,edmond_rostand_cyrano-utf8.txt	22888,16859,20267
ajourés,edmond_rostand_cyrano-utf8.txt	9609
ajouta,camus-la-peste-utf8.txt	3212,96,1975,2321,1165,1543,160,2209,1913,450
ajouta,edmond_rostand_cyrano-utf8.txt	17414
ajoutaient,camus-la-peste-utf8.txt	2641
ajoutait,camus-la-peste-utf8.txt	398,1055,2179,2888,2189,2195,1949,2942
ajoutant,camus-la-peste-utf8.txt	2555
ajoutatil,camus-la-peste-utf8.txt	955
ajoute,camus-la-peste-utf8.txt	558
ajouter,camus-la-peste-utf8.txt	881,326
ajouté,camus-la-peste-utf8.txt	1469,356
ajoutées,camus-la-peste-utf8.txt	2098
ajusté,edmond_rostand_cyrano-utf8.txt	967
ajustés,camus-la-peste-utf8.txt	3140
alarmant,camus-la-peste-utf8.txt	2563
alarmes,edmond_rostand_cyrano-utf8.txt	14095
albert,camus-la-peste-utf8.txt	3,5
alcandre,edmond_rostand_cyrano-utf8.txt	12244,12578
alchimie,edmond_rostand_cyrano-utf8.txt	13620
alcool,camus-la-peste-utf8.txt	1099,1533
